*,address_raw,city,state,zipcode,unit,property_type,bedrooms,bathrooms,sqft,rent,price_per_sqft,listing_url,K_Q_Overall,B_Q_Overall,Flooring_Q,Paint_Q,Lighting_Q,Window_Q,Appliance_Q,Quality_Score_100,K_Size_1_3,K_Layout,B_Size_1_3,B_Layout,Bath_Config_1_3,Storage_Level_1_3,Floorplan_Utility_1_3,Unit_Size_1_3_Auto,Size_Score_100,C_Balcony_Deck,C_Heating,C_AC,C_Washer_Dryer,C_Parking,C_Dishwasher,C_Microwave,C_Disposal,C_Hardwood,C_Updated_Kitchen,C_Updated_Bath,C_Outdoor_Space,Parking_Type,Parking_Score_100,Laundry_Type,Laundry_Score_100,Bath_Config_Type,Fireplace_Type,Fireplace_Bonus_100,Exterior_Amenities_1_3,Package_Lockers,Gym_Workout,Pool,Yard_Shared_Outdoor,Amenity_Bonus_Score_100,Completeness_Score_100,WalkScore,TransitScore,BikeScore,Location_Score_100,Market_Score,Market_Grade,Luxury_Gap,Rent_per_Score,Opportunity_Flag,Notes,description_text,lat,lng
1,"2805 38th ave, Oakland, CA 94619",Oakland,CA,94619,,apartment,2,1,900,"$2,500",$2.78,https://sfbay.craigslist.org/eby/apa/d/oakland-modern-oakland-flat-bright/7920782773.html,2,3,2,3,2,2,2,76.2,,,,,,,,2,66.7,,Yes,,Yes,,,,,No,Yes,Yes,,,,,,,,,,,,,,,,80,50,70,69.0,71.3,B,,$35.07,Review,,,37.78666397707876,-122.20517542821264
1,"2805 38th ave, Oakland, CA 94619",Oakland,CA,94619,,apartment,2,1,,"$2,500",,https://sfbay.craigslist.org/eby/apa/d/oakland-stylish-oakland-apartment-with/7922405188.html,2,3,2,3,2,2,2,76.2,,,,,,,,,,,Yes,,Yes,,,,,No,Yes,Yes,,,,,,,,,,,,,,,,80,50,70,69.0,73.3,B,,$34.10,Review,,,37.78666397707876,-122.20517542821264
1,"16077 ashland Ave, San Lorenzo, CA 94580",San Lorenzo,CA,94580,,apartment,2,1,800,"$2,425",$3.03,https://sfbay.craigslist.org/eby/apa/d/san-leandro-discover-your-br-oasis-with/7922849073.html,2,,2,3,2,3,2,77.8,,,,,,,,2,66.7,Yes,Yes,,No,Yes,Yes,,,No,Yes,,Yes,,,,,,,,,,,,,,,71,42,57,59.5,69.3,C,,$34.99,Review,,,37.6868578,-122.1190549
1,"Stannage ave, Albany, CA 94706",Albany,CA,94706,,apartment,2,1,875,"$2,600",$2.97,https://sfbay.craigslist.org/eby/apa/d/albany-berkeley-albany-2bed-bath-near/7916952119.html,2,2,2,1,1,1,2,52.4,,,,,,,,2,66.7,Yes,Yes,,Yes,Yes,Yes,,,Yes,No,No,Yes,,,,,,,,,,,,,,,97,57,98,85.2,65.9,C,,$39.48,High-location / low-quality opportunity,,,37.8903625,-122.2971139
1,"1411 Alice St, Oakland, CA 94612",Oakland,CA,94612,,apartment,2,1,777,"$2,877",$3.70,https://sfbay.craigslist.org/eby/apa/d/oakland-effortless-downtown-living-br/7922846360.html,3,3,3,3,3,3,3,100.0,,,,,,,,2,66.7,No,Yes,,Yes,Yes,Yes,,,No,Yes,Yes,No,,,,,,,,,,,,,,,99,88,91,94.1,88.2,A,,$32.63,Top-of-market comp,,,37.80273532395777,-122.26642154384346
1,"Buena Vista Ave., Alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,900,"$2,550",$2.83,https://sfbay.craigslist.org/eby/apa/d/alameda-live-peacefully-in-the-heart-of/7922123062.html,2,,2,2,2,2,2,66.7,,,,,,,,2,66.7,,Yes,,No,,Yes,,,No,Yes,,,,,,,,,,,,,,,,,86,49,74,72.5,68.3,C,,$37.34,Review,,,37.7713902,-122.2470347
1,"22160 Center Street, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,977,"$2,673",$2.74,https://sfbay.craigslist.org/eby/apa/d/hayward-castro-valley-ca-on-site/7922397858.html,3,3,2,3,2,3,3,90.5,,,,,,,,2,66.7,Yes,Yes,,No,Yes,Yes,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,71,38,42,55.3,73.4,B,,$36.40,Review,,,37.688555,-122.062203
1,"15267 Hesperian Blvd, San Leandro, CA 94578",San Leandro,CA,94578,,apartment,2,1,838,"$2,581",$3.08,https://sfbay.craigslist.org/eby/apa/d/san-leandro-effortless-living-br-home/7922833520.html,3,3,2,2,3,3,3,90.5,,,,,,,,2,66.7,Yes,Yes,,No,Yes,Yes,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,76,65,68,71.1,77.8,B,,$33.17,Review,,,37.6949777,-122.1304232
1,"1820 Santa Clara Avenue, Alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,,"$2,250",,https://sfbay.craigslist.org/eby/apa/d/alameda-ground-level-unit-vinyl/7922820128.html,2,1,2,1,1,2,2,52.4,,,,,,,,,,No,Yes,,No,Yes,No,,,No,No,No,No,,,,,,,,,,,,,,,85,47,84,73.4,60.8,C,,$37.01,Review,,,37.770059,-122.2538449
1,"2010 San Jose Ave., Alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,800,"$2,425",$3.03,https://sfbay.craigslist.org/eby/apa/d/alameda-central-alameda-spacious-clean/7919811395.html,1,1,2,1,1,1,2,42.9,,,,,,,,2,66.7,No,Yes,,No,Yes,No,,,No,No,No,No,,,,,,,,,,,,,,,79,47,71,67.8,57.1,C,,$42.50,Review,,,37.7646321,-122.2548291
