*,address_raw,city,state,zipcode,unit,property_type,bedrooms,bathrooms,sqft,rent,price_per_sqft,listing_url,K_Q_Overall,B_Q_Overall,Flooring_Q,Paint_Q,Lighting_Q,Window_Q,Appliance_Q,Quality_Score_100,K_Size_1_3,B_Size_1_3,B_Layout,Unit_Size_1_3_Auto,Size_Score_100,C_Balcony_Deck,C_Heating,C_AC,C_Washer_Dryer,C_Parking,C_Dishwasher,C_Microwave,C_Disposal,C_Hardwood,C_Updated_Kitchen,C_Updated_Bath,C_Outdoor_Space,Completeness_Score_100,WalkScore,TransitScore,BikeScore,Location_Score_100,Market_Score,Market_Grade,Luxury_Gap,Rent_per_Score,Opportunity_Flag,Notes,description_text
1,"609 23rd st, Oakland, CA 94612",Oakland,CA,94612,,apartment,2,1,1000,"$2,200",$2.20,https://sfbay.craigslist.org/eby/apa/d/oakland-bedroom-bath/7922796935.html,2,2,2,3,3,2,2,76.2,,,,3,100.0,,,,No,,No,,,No,Yes,Yes,,40.0,,,,0.0,54.9,D,60.0,$40.10,Feature-completeness gap,,
1,"9316 Oscar Ave, Oakland, CA 94603",Oakland,CA,94603,,apartment,2,1,700,"$2,000",$2.86,https://sfbay.craigslist.org/eby/apa/d/oakland-2bd-1ba-apt-remodeled-kitchen/7922796392.html,1,2,2,1,2,1,1,47.6,,,,2,66.7,,,,No,,No,,,No,No,No,,0.0,,,,0.0,27.6,D,100.0,$72.41,Review,,
1,"1537 63rd Street, Berkeley, CA 94703",Berkeley,CA,94703,,apartment,2,1,970,"$2,875",$2.96,https://sfbay.craigslist.org/eby/apa/d/oakland-large-two-bedroom-one-bath/7921775493.html,2,2,2,3,2,2,2,71.4,,,,2,66.7,,,,Yes,Yes,No,,,No,Yes,Yes,,66.7,,,,0.0,54.8,D,33.3,$52.50,Review,,
1,"22160 Center Street, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,977,"$2,655",$2.72,https://sfbay.craigslist.org/eby/apa/d/hayward-dog-park-bd-ba-located-in/7921958093.html,3,3,2,3,2,2,3,85.7,,,,2,66.7,,,,No,,Yes,,,No,Yes,Yes,,60.0,,,,0.0,57.0,C,40.0,$46.54,Review,,
1,"1211 Lincoln Ave #B, Alameda, CA 94501",Alameda,CA,94501,B,apartment,2,1,,"$2,650",,https://sfbay.craigslist.org/eby/apa/d/alameda-1211-lincoln-ave-bedroom-bath/7921043552.html,3,2,2,3,3,1,2,76.2,,,,,,Yes,,,Yes,No,Yes,,,No,Yes,Yes,Yes,75.0,,,,0.0,56.7,C,25.0,$46.74,Review,,
1,"2134 Clinton Ave, Alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,,"$2,950",,https://sfbay.craigslist.org/eby/apa/d/alameda-2134-clinton-ave-bedroom/7921072842.html,2,2,3,3,2,2,2,76.2,,,,,,Yes,,,Yes,Yes,Yes,,,Yes,No,No,Yes,75.0,,,,0.0,56.7,C,25.0,$52.03,Review,,
1,"528 Merritt Ave #208, Oakland, CA 94610",Oakland,CA,94610,208,apartment,2,1,,"$2,850",,https://sfbay.craigslist.org/eby/apa/d/oakland-528-merritt-ave-bedroom-bath/7920834471.html,2,2,2,3,3,2,,77.8,,,,,,No,,,No,Yes,,,,No,,Yes,No,33.3,,,,0.0,41.7,D,66.7,$68.40,Feature-completeness gap,,
1,"1517 Willow St, Alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,,"$2,800",,https://sfbay.craigslist.org/eby/apa/d/oakland-1517-willow-st-bedroom-bath/7920797790.html,2,1,2,2,1,2,2,57.1,,,,,,Yes,,,Yes,Yes,No,,,Yes,No,No,Yes,62.5,,,,0.0,44.9,D,37.5,$62.41,Review,,
1,"1724 Lincoln Ave #B, Alameda, CA 94501",Alameda,CA,94501,B,apartment,2,1,,"$2,250",,https://sfbay.craigslist.org/eby/apa/d/alameda-1724-lincoln-ave-bedroom-bath/7920593544.html,2,2,2,3,2,2,2,71.4,,,,,,Yes,,,No,No,No,,,Yes,No,Yes,Yes,50.0,,,,0.0,45.5,D,50.0,$49.41,Feature-completeness gap,,
1,"2228 Lincoln Ave #K, Alameda, CA 94501",Alameda,CA,94501,K,apartment,2,1,,"$2,350",,https://sfbay.craigslist.org/eby/apa/d/oakland-2228-lincoln-ave-bedroom/7920593469.html,1,2,2,2,2,2,2,61.9,,,,,,,,,No,Yes,Yes,,,No,No,No,,33.3,,,,0.0,35.7,D,66.7,$65.80,Review,,
1,"1501 Verdi St #B, Alameda, CA 94501",Alameda,CA,94501,B,apartment,2,1,,"$2,600",,https://sfbay.craigslist.org/eby/apa/d/alameda-1501-verdi-st-bedroom-bath/7918826542.html,2,2,2,2,1,2,2,61.9,,,,,,Yes,,,No,Yes,Yes,,,No,No,No,Yes,50.0,,,,0.0,42.0,D,50.0,$61.96,Review,,
1,"610 Santa Clara Ave #B, Alameda, CA 94501",Alameda,CA,94501,B,apartment,2,1,,"$2,750",,https://sfbay.craigslist.org/eby/apa/d/alameda-610-santa-clara-ave-bedroom-bath/7918412948.html,2,2,2,2,2,2,2,66.7,,,,,,,,,Yes,Yes,No,,,Yes,Yes,Yes,,83.3,,,,0.0,56.3,C,16.7,$48.89,Review,,
1,"22160 Center Street, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,900,"$2,524",$2.80,https://sfbay.craigslist.org/eby/apa/d/hayward-bed-dual-sink-vanities/7921834420.html,3,2,2,2,2,2,3,76.2,,,,2,66.7,Yes,,,No,Yes,Yes,,,No,Yes,Yes,Yes,75.0,,,,0.0,58.7,C,25.0,$43.01,Review,,
1,"2232 Haste Street, Berkeley, CA 94704",Berkeley,CA,94704,Street,apartment,2,1,600,"$2,895",$4.83,https://sfbay.craigslist.org/eby/apa/d/berkeley-br-ba-available-open-house/7920507353.html,1,2,1,1,2,2,2,52.4,,,,1,33.3,,,,No,No,No,,,No,Yes,Yes,,33.3,,,,0.0,32.4,D,66.7,$89.40,Review,,
1,"2325 McKinley Ave, Berkeley, Ca., Berkeley, CA 94703",Berkeley,CA,94703,,apartment,2,1,,"$3,495",,https://sfbay.craigslist.org/eby/apa/d/berkeley-remodeled-loft-style-apartment/7922742510.html,3,3,3,3,3,2,3,95.2,,,,,,Yes,,,No,,Yes,,,Yes,Yes,Yes,Yes,85.7,,,,0.0,67.9,C,14.3,$51.51,Review,,
1,"22160 Center Street, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,977,"$2,655",$2.72,https://sfbay.craigslist.org/eby/apa/d/hayward-bd-lush-landscaping-located-in/7921863726.html,3,2,2,2,2,2,3,76.2,,,,2,66.7,Yes,,,No,Yes,Yes,,,No,Yes,Yes,Yes,75.0,,,,0.0,58.7,C,25.0,$45.24,Review,,
1,"Hearst, Berkeley, CA 94702",Berkeley,CA,94702,,apartment,2,1,802,"$3,700",$4.61,https://sfbay.craigslist.org/eby/apa/d/berkeley-3700x-2br-berkeley-garden/7922738184.html,2,2,2,2,2,2,2,66.7,,,,2,66.7,Yes,,,No,,,,,Yes,,,Yes,75.0,,,,0.0,55.8,C,25.0,$66.27,Review,,
